Date,SPY,UPDOWN,MONTH
43129,284.68,-0.662991137,
43130,281.76,-1.025713081,
43131,281.9,0.049687677,
43132,281.58,-0.113515431,2
43133,275.45,-2.177001207,
43136,263.93,-4.182247232,
43137,269.13,1.970219376,
43138,267.67,-0.54248876,
43139,257.63,-3.750887287,
43140,261.5,1.502154252,
43143,265.34,1.468451243,
43144,266,0.248737469,
43145,269.59,1.34962406,
43146,273.03,1.276011722,
43147,273.11,0.029300809,
43151,271.4,-0.626121343,
43152,270.05,-0.497420781,
43153,270.4,0.129605629,
43154,274.71,1.593934911,
43157,277.9,1.161224564,
43158,274.43,-1.248650594,
43159,271.65,-1.013008782,
43160,267.7,-1.454076937,3
43161,269.08,0.515502428,
43164,272.19,1.1557901,
43165,272.88,0.253499394,
43166,272.78,-0.036646145,
43167,274.1,0.483906445,
43168,278.87,1.740240788,
43171,278.52,-0.125506508,
43172,276.72,-0.646273158,
43173,275.3,-0.513154091,
43174,275,-0.108972031,
43175,274.2,-0.290909091,
43178,270.49,-1.353026988,
43179,270.95,0.17006174,
43180,270.43,-0.191917328,
43181,263.67,-2.499722664,
43182,258.05,-2.131452194,
43185,265.11,2.735903895,
43186,260.6,-1.701180642,
43187,259.83,-0.295471988,
43188,263.15,1.277758534,
43192,257.47,-2.158464754,4
43193,260.77,1.281702723,
43194,263.56,1.069908348,
43195,265.64,0.789194111,
43196,259.72,-2.228580033,
43199,261,0.492838441,
43200,265.15,1.590038314,
43201,263.76,-0.524231567,
43202,265.93,0.822717622,
43203,265.15,-0.29331027,
43206,267.33,0.822176127,
43207,270.19,1.069838776,
43208,270.39,0.074021985,
43209,268.89,-0.554754244,
43210,266.61,-0.84793038,
43213,266.57,-0.015003188,
43214,262.98,-1.346738193,
43215,263.63,0.247167085,
43216,266.31,1.016576262,
43217,266.56,0.093875559,
43220,264.51,-0.769057623,
43221,264.98,0.177687044,5
43222,263.2,-0.671748811,
43223,262.62,-0.220364742,
43224,266.02,1.294646257,
43227,266.92,0.338320427,
43228,266.92,0,
43229,269.5,0.966581747,
43230,272.02,0.935064935,
43231,272.85,0.305124623,
43234,272.98,0.047645226,
43235,271.1,-0.688695143,
43236,272.24,0.420509037,
43237,272.01,-0.084484279,
43238,271.33,-0.249990809,
43241,273.37,0.751851988,
43242,272.61,-0.278011486,
43243,273.36,0.275118301,
43244,272.8,-0.204858063,
43245,272.15,-0.238269795,
43249,269.02,-1.150101047,
43250,272.61,1.334473273,
43251,270.94,-0.61259675,
43252,273.6,0.981767181,6
43255,274.9,0.475146199,
43256,275.1,0.072753729,
43257,277.4,0.836059615,
43258,277.37,-0.010814708,
43259,278.19,0.295633991,
43262,278.56,0.133002624,
43263,278.92,0.129236071,
43264,278.03,-0.319087911,
43265,278.73,0.251771392,
43266,277.13,-0.574032218,
43269,276.56,-0.205679645,
43270,275.5,-0.383280301,
43271,275.97,0.170598911,
43272,274.24,-0.626879733,
43273,274.74,0.182322054,
43276,271,-1.361287035,
43277,271.6,0.221402214,
43278,269.35,-0.828424153,
43279,270.89,0.571746798,
43280,271.28,0.143969877,
43283,271.86,0.213801239,7
43284,270.9,-0.353122931,
43286,273.11,0.815799188,
43287,275.42,0.845813042,
43290,277.9,0.90044296,
43291,278.9,0.35984167,
43292,276.86,-0.731444962,
43293,279.37,0.906595391,
43294,279.59,0.078748613,
43297,279.34,-0.089416646,
43298,280.47,0.404524952,
43299,281.06,0.210361179,
43300,280,-0.37714367,
43301,279.68,-0.114285714,
43304,280.2,0.185926773,
43305,281.61,0.503211991,
43306,284.01,0.852242463,
43307,283.34,-0.235907186,
43308,281.42,-0.677631115,
43311,279.95,-0.522350935,
43312,281.33,0.492945169,
43313,280.86,-0.167063591,8
43314,282.39,0.544755394,
43315,283.6,0.428485428,
43318,284.64,0.366713681,
43319,285.58,0.330241709,
43320,285.46,-0.042019749,
43321,285.07,-0.136621593,
43322,283.16,-0.670010875,
43325,282.1,-0.374346659,
43326,283.9,0.638071606,
43327,281.78,-0.74674181,
43328,284.06,0.809141884,
43329,285.06,0.352038302,
43332,285.67,0.213990037,
43333,286.34,0.234536353,
43334,286.17,-0.05936998,
43335,285.79,-0.132788203,
43336,287.51,0.601840512,
43339,289.78,0.789537755,
43340,289.92,0.048312513,
43341,291.48,0.53807947,
43342,290.3,-0.40483052,
43343,290.31,0.003444712,
43347,289.81,-0.172229686,9
43348,289.03,-0.269141852,
43349,288.16,-0.301006816,
43350,287.6,-0.19433648,
43353,288.1,0.173852573,
43354,289.05,0.329746616,
43355,289.12,0.024217263,
43356,290.83,0.591449917,
43357,290.88,0.017192174,
43360,289.34,-0.529427943,
43361,290.91,0.542614225,
43362,291.22,0.106562167,
43363,293.58,0.810383902,
43364,291.99,-0.541590027,
43367,291.02,-0.332203158,
43368,290.75,-0.092777129,
43369,289.88,-0.299226139,
43370,290.69,0.279425969,
43371,290.72,0.010320272,
43374,291.73,0.347413319,10
43375,291.56,-0.058273061,
43376,291.72,0.054877212,
43377,289.44,-0.78157137,
43378,287.82,-0.559701493,
43381,287.82,0,
43382,287.4,-0.145924536,
43383,278.3,-3.16631872,
43384,272.17,-2.202659001,
43385,275.95,1.388837859,
43388,274.4,-0.561695959,
43389,280.4,2.186588921,
43390,280.45,0.017831669,
43391,276.4,-1.444107684,
43392,276.25,-0.054269175,
43395,275.01,-0.448868778,
43396,273.61,-0.509072397,
43397,265.32,-3.02986002,
43398,270.08,1.794060003,
43399,265.33,-1.758738152,
43402,263.86,-0.554027061,
43403,267.77,1.481846434,
43404,270.63,1.068080816,
43405,273.51,1.064183572,11
43406,271.89,-0.592300099,
43409,273.39,0.5516937,
43410,275.12,0.63279564,
43411,281.01,2.140883978,
43412,280.5,-0.181488203,
43413,277.76,-0.976827094,
43416,272.57,-1.868519585,
43417,272.06,-0.187107899,
43418,270.2,-0.683672719,
43419,273.02,1.043671355,
43420,273.73,0.260054208,
43423,269.1,-1.691447777,
43424,264.12,-1.850613155,
43425,265.02,0.340754203,
43427,263.25,-0.667874123,
43430,267.5,1.614434948,
43431,268.4,0.336448598,
43432,274.58,2.302533532,
43433,273.98,-0.218515551,
43434,275.65,0.609533543,
43437,279.3,1.324142935,12
43438,270.25,-3.240243466,
43440,269.84,-0.151711378,
43441,263.57,-2.32359917,
43444,264.07,0.189702925,
43445,264.13,0.022721248,
43446,265.46,0.503539924,
43447,265.37,-0.033903413,
43448,260.47,-1.846478502,
43451,255.36,-1.961838216,
43452,255.08,-0.109649123,
43453,251.26,-1.49756939,
43454,247.17,-1.627795909,
43455,240.7,-2.61763159,
43458,234.34,-2.642293311,
43460,246.18,5.052487838,
43461,248.07,0.767730929,
43462,247.75,-0.128995848,
43465,249.92,0.875882947,
43467,250.18,0.104033291,1
43468,244.21,-2.386281877,
