Date,DOLLAR
43682,97.5
43683,97.629997
43684,97.540001
43685,97.620003
43686,97.489998
43688,
43689,97.379997
43690,97.809998
43691,97.989998
43692,98.139999
43693,98.139999
43695,
43696,98.349998
43697,98.190002
43698,98.300003
43699,98.169998
43700,97.639999
43702,
43703,98.080002
43704,98
43705,98.209999
43706,98.510002
43707,98.919998
43709,
43711,98.949997
43712,98.449997
43713,98.410004
43714,98.389999
43716,
43717,98.279999
43718,98.330002
43719,98.650002
43720,98.309998
43721,98.260002
43723,
43724,98.650002
43725,98.260002
43726,98.599998
43727,98.269997
43728,98.510002
43730,
43731,98.599998
43732,98.339996
43733,99.040001
43734,99.209999
43735,99.110001
43737,
43738,99.379997
43739,99.129997
43740,99.040001
43741,98.860001
43742,98.809998
43744,
43745,98.989998
43746,99.139999
43747,99.120003
43748,98.709999
43749,98.300003
43751,
43752,98.449997
43753,98.290001
43754,98.010002
43755,97.610001
43756,97.279999
43758,
43759,97.330002
43760,97.529999
43761,97.470001
43762,97.629997
43763,97.830002
43765,
43766,97.760002
43767,97.690002
43768,97.650002
43769,97.349998
43770,97.239998
43772,
43773,97.510002
43774,97.980003
43775,97.949997
43776,98.139999
43777,98.349998
43779,
43780,98.199997
43781,98.309998
43782,98.370003
43783,98.160004
43784,98
43786,
43787,97.790001
43788,97.860001
43789,97.93
43790,97.989998
43791,98.269997
43793,
43794,98.32
43795,98.25
43796,98.410004
43798,98.269997
43800,
43801,97.860001
43802,97.739998
43803,97.650002
43804,97.410004
43805,97.699997
43807,
43808,97.639999
43809,97.410004
43810,97.160004
43811,97.400002
43812,97.169998
43814,
43815,97.07
43816,97.209999
43817,97.410004
43818,97.419998
43819,97.709999
43821,
43822,97.660004
43823,97.650002
43825,97.589996
43826,96.919998
43828,
43829,96.739998
43830,96.389999
43832,96.849998
43833,96.839996
43835,
43836,96.669998
43837,96.980003
43838,97.300003
43839,97.449997
43840,97.360001
43842,
43843,97.349998
43844,97.370003
43845,97.230003
43846,97.32
43847,97.610001
43849,
43851,97.529999
43852,97.529999
43853,97.690002
43854,97.849998
43856,
43857,97.959999
43858,98.019997
43859,97.989998
43860,97.870003
43861,97.389999
43863,
43864,97.800003
43865,97.959999
43866,98.269997
43867,98.5
43868,98.68
43870,
43871,98.830002
43872,98.720001
43873,99.050003
43874,99.07
43875,99.120003
43877,
43879,99.459999
43880,99.599998
43881,99.870003
43882,99.260002
43884,
43885,99.290001
43886,98.970001
43887,99
43888,98.440002
43889,98.129997
43891,
43892,97.360001
43893,97.150002
43894,97.339996
43895,96.82
43896,95.949997
43898,
43899,94.900002
43900,96.410004
43901,96.510002
43902,97.470001
43903,98.75
43905,
43906,98.089996
43907,99.580002
43908,101.160004
43909,102.760002
43910,102.82
43912,
43913,102.489998
43914,101.739998
43915,101.050003
43916,99.419998
43917,98.370003
43919,
43920,99.18
43921,99.050003
43922,99.669998
43923,100.18
43924,100.580002
43926,
43927,100.690002
43928,99.980003
43929,100.120003
43930,99.519997
43933,
43934,99.349998
43935,98.889999
43936,99.459999
43937,100.029999
43938,99.779999
43940,
43941,99.959999
43942,100.260002
43943,100.389999
43944,100.43
43945,100.379997
43947,
43948,100.040001
43949,99.870003
43950,99.57
43951,99.019997
43952,98.800003
43954,
43955,99.480003
43956,99.709999
43957,100.089996
43958,99.889999
43959,99.730003
43961,
43962,100.239998
43963,99.93
43964,100.239998
43965,100.470001
43966,100.400002
43968,
43969,99.669998
43970,99.370003
43971,99.120003
43972,99.370003
43973,99.860001
43975,
43977,98.910004
43978,99.059998
43979,98.379997
43980,98.339996
43982,
43983,97.830002
43984,97.669998
43985,97.279999
43986,96.68
43987,96.940002
43989,
43990,96.620003
43991,96.32
43992,95.959999
43993,96.730003
43994,97.32
43996,
43997,96.68
43998,96.959999
43999,97.160004
44000,97.419998
44001,97.620003
44003,
44004,97.040001
44005,96.690002
44006,97.150002
44007,97.43
44008,97.5
44010,
44011,97.540001
44012,97.389999
44013,97.199997
44014,97.32
44017,
44018,96.790001
44019,96.879997
44020,96.43
44021,96.699997
44022,96.650002
44024,
44025,96.459999
44026,96.260002
44027,96.080002
44028,96.349998
44029,95.940002
44031,
44032,95.830002
44033,95.120003
44034,94.970001
44035,94.690002
44036,94.440002
44038,
44039,93.669998
44040,93.760002
44041,93.260002
44042,93.019997
44043,93.489998
44045,
44046,93.5
44047,93.379997
44048,92.830002
44049,92.790001
44050,93.440002
44052,
44053,93.580002
44054,93.629997
44055,93.440002
44056,93.339996
44057,93.099998
44059,
44060,92.849998
44061,92.269997
44062,92.889999
44063,92.790001
44064,93.25
44066,
44067,93.300003
44068,93.019997
44069,93.010002
44070,93.010002
44071,92.370003
44073,
44074,92.139999
44075,92.339996
44076,92.849998
44077,92.739998
44078,92.720001
44080,
44082,93.480003
44083,93.260002
44084,93.339996
44085,93.330002
44087,
44088,93.07
44089,93.050003
44090,93.209999
44091,92.970001
44092,92.93
44094,
44095,93.540001
44096,93.989998
44097,94.389999
44098,94.349998
44099,94.580002
44101,
44102,94.260002
44103,93.889999
44104,93.889999
44105,93.709999
44106,93.839996
44108,
44109,93.510002
44110,93.830002
44111,93.629997
44112,93.610001
44113,93.059998
44115,
44116,93.07
44117,93.529999
44118,93.379997
44119,93.860001
44120,93.68
44122,
44123,93.43
44124,93.07
44125,92.610001
44126,92.949997
44127,92.769997
44129,
44130,93.050003
44131,92.940002
44132,93.410004
44133,93.959999
44134,94.040001
44136,
44137,94.050003
44138,93.550003
44139,93.410004
44140,92.529999
44141,92.230003
44143,
44144,92.730003
44145,92.75
44146,93.040001
44147,92.959999
44148,92.760002
44150,
44151,92.57
44152,92.419998
44153,92.32
44154,92.290001
44155,92.389999
44157,
44158,92.510002
44159,92.230003
44160,91.989998
44162,91.790001
44164,
44165,91.870003
44166,91.309998
44167,91.120003
44168,90.709999
44169,90.699997
44171,
44172,90.790001
44173,90.970001
44174,91.089996
44175,90.790001
44176,90.980003
44178,
44179,90.709999
44180,90.470001
44181,90.449997
44182,89.82
44183,90.019997
44185,
44186,90.040001
44187,90.650002
44188,90.410004
44189,90.330002
44192,
44193,90.339996
44194,90.010002
44195,89.629997
44196,89.940002
44199,
44200,89.879997
44201,89.440002
44202,89.529999
44203,89.830002
44204,90.099998
44206,
44207,90.540001
44208,90.050003
44209,90.32
44210,90.239998
44211,90.779999
44213,
44215,90.5
44216,90.470001
44217,90.129997
44218,90.239998
44220,
44221,90.389999
44222,90.169998
44223,90.650002
44224,90.459999
44225,90.580002
44227,
44228,91.019997
44229,91.199997
44230,91.120003
44231,91.529999
44232,91.040001
44234,
44235,90.93
44236,90.440002
44237,90.370003
44238,90.419998
44239,90.480003
44241,
44243,90.510002
44244,90.949997
44245,90.589996
44246,90.360001
44248,
44249,90.010002
44250,90.169998
44251,90.18
44252,90.129997
44253,90.93
44255,
44256,91.040001
44257,90.790001
44258,90.949997
44259,91.629997
44260,91.980003
44262,
44263,92.309998
44264,91.959999
44265,91.790001
44266,91.419998
44267,91.68
44269,
44270,91.830002
44271,91.870003
44272,91.400002
44273,91.849998
44274,91.919998
44276,
44277,91.800003
44278,92.339996
44279,92.529999
44280,92.879997
44281,92.769997
44283,
44284,92.940002
44285,93.300003
44286,93.230003
44287,92.93
44290,
44291,92.599998
44292,92.339996
44293,92.459999
44294,92.059998
44295,92.160004
44297,
44298,92.139999
44299,91.849998
44300,91.690002
44301,91.669998
44302,91.559998
44304,
44305,91.07
44306,91.239998
44307,91.160004
44308,91.330002
44309,90.860001
44311,
44312,90.809998
44313,90.910004
44314,90.610001
44315,90.610001
44316,91.279999
44318,
44319,90.949997
44320,91.290001
44321,91.309998
44322,90.949997
44323,90.230003
44325,
44326,90.209999
44327,90.139999
44328,90.709999
44329,90.75
44330,90.32
44332,
44333,90.220001
44334,89.75
44335,90.190002
44336,89.809998
44337,90.019997
44339,
44340,89.830002
44341,89.639999
44342,90.040001
44343,89.970001
44344,90.029999
44346,
44348,89.830002
44349,89.900002
44350,90.5
44351,90.139999
44353,
44354,89.949997
44355,90.080002
44356,90.120003
44357,90.080002
44358,90.559998
44360,
44361,90.519997
44362,90.540001
44363,91.129997
44364,91.889999
44365,92.230003
44367,
44368,91.860001
44369,91.730003
44370,91.800003
44371,91.82
44372,91.809998
44374,
44375,91.879997
44376,92.050003
44377,92.440002
44378,92.599998
44379,92.230003
44381,
44383,92.550003
44384,92.639999
44385,92.360001
44386,92.129997
44388,
44389,92.230003
44390,92.75
44391,92.410004
44392,92.620003
44393,92.690002
44395,
44396,92.889999
44397,92.970001
44398,92.75
44399,92.82
44400,92.910004
44402,
44403,92.650002
44404,92.43
44405,92.32
44406,91.860001
44407,92.169998
44409,
44410,92.050003
44411,92.080002
44412,92.269997
44413,92.239998
44414,92.800003
44416,
44417,92.949997
44418,93.059998
44419,92.910004
44420,93.040001
44421,92.519997
44423,
44424,92.629997
44425,93.129997
44426,93.139999
44427,93.57
44428,93.5
44430,
44431,92.959999
44432,92.889999
44433,92.830002
44434,93.059998
44435,92.690002
44437,
